,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
6852,Shenmue I & II,PC,21-Aug-18,2018-08-21,2018
6853,Horizon Chase Turbo,PC,15-May-18,2018-05-15,2018
6854,.hack//G.U. Last Recode,PlayStation4,03-Nov-17,2017-11-03,2017
6855,Redout,XboxOne,29-Aug-17,2017-08-29,2017
6856,Unit 4,XboxOne,24-May-17,2017-05-24,2017
6857,Watch Dogs: Bad Blood,PlayStation4,30-Sep-14,2014-09-30,2014
6858,Madden NFL 25,PlayStation3,27-Aug-13,2013-08-27,2013
6859,Super Monday Night Combat,PC,19-Apr-12,2012-04-19,2012
6860,Who's That Flying?!,PSP,16-Nov-10,2010-11-16,2010
6861,Resident Evil Archives: Resident Evil,Wii,23-Jun-09,2009-06-23,2009
6862,Sniper Elite,PC,27-Oct-05,2005-10-27,2005
6863,Midway Arcade Treasures,PlayStation2,18-Nov-03,2003-11-18,2003
6864,Lufia: The Ruins of Lore,GameBoyAdvance,06-May-03,2003-05-06,2003
6865,BloodRayne,Xbox,15-Oct-02,2002-10-15,2002
6866,MX Superfly,GameCube,25-Jun-02,2002-06-25,2002
6867,Star Wars Starfighter: Special Edition,Xbox,26-Nov-01,2001-11-26,2001
6868,BreakNeck (2000),PC,21-Jun-00,2000-06-21,2000
6869,Tak: The Great Juju Challenge,GameCube,19-Sep-05,2005-09-19,2005
6870,Star Ocean: Second Evolution,PSP,19-Jan-09,2009-01-19,2009
6871,Victoria II,PC,13-Aug-10,2010-08-13,2010
6872,Bonsai Barber,Wii,30-Mar-09,2009-03-30,2009
6873,Dear Esther,PC,14-Feb-12,2012-02-14,2012
6874,Stubbs the Zombie in Rebel Without a Pulse,Xbox,18-Oct-05,2005-10-18,2005
6875,Alan Wake: The Signal,Xbox360,27-Jul-10,2010-07-27,2010
6876,de Blob 2,DS,22-Feb-11,2011-02-22,2011
6877,The Godfather,PlayStation2,21-Mar-06,2006-03-21,2006
6878,VirtuaVerse,PC,12-May-20,2020-05-12,2020
6879,Not A Hero: Super Snazzy Edition,XboxOne,24-May-16,2016-05-24,2016
6880,Unravel,XboxOne,09-Feb-16,2016-02-09,2016
6881,The Dream Machine,PC,14-Dec-10,2010-12-14,2010
6882,MX vs. ATV Reflex,Xbox360,01-Dec-09,2009-12-01,2009
6883,TT Isle of Man: Ride On The Edge 2,XboxOne,19-Mar-20,2020-03-19,2020
6884,Darksiders II: Deathinitive Edition,XboxOne,30-Oct-15,2015-10-30,2015
6885,Partisans 1941,PC,14-Oct-20,2020-10-14,2020
6886,The Mummy Demastered,PlayStation4,24-Oct-17,2017-10-24,2017
6887,Armello,PC,01-Sep-15,2015-09-01,2015
6888,Poker Night 2,PC,26-Apr-13,2013-04-26,2013
6889,Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,15-Jan-13,2013-01-15,2013
6890,Capcom Classics Collection Reloaded,PSP,24-Oct-06,2006-10-24,2006
6891,Pumpkin Jack,Switch,23-Oct-20,2020-10-23,2020
6892,Shantae and the Seven Sirens,XboxOne,28-May-20,2020-05-28,2020
6893,Unruly Heroes,Switch,23-Jan-19,2019-01-23,2019
6894,Infinite Minigolf,PlayStation4,25-Jul-17,2017-07-25,2017
6895,Tiny & Big: Grandpa's Leftovers,PC,19-Jun-12,2012-06-19,2012
6896,A Total War Saga: Thrones of Britannia,PC,02-May-18,2018-05-02,2018
6897,WWE 2K14,Xbox360,29-Oct-13,2013-10-29,2013
6898,Mary Skelter 2,Switch,07-Feb-19,2019-02-07,2019
6899,Puzzle Quest: Galactrix,DS,24-Feb-09,2009-02-24,2009
6900,The Escapists 2,PlayStation4,22-Aug-17,2017-08-22,2017
6901,Madden NFL 13,WiiU,13-Nov-12,2012-11-13,2012
6902,Dragon Quest Monsters: Joker,DS,06-Nov-07,2007-11-06,2007
6903,Borderlands: The Pre-Sequel,PC,13-Oct-14,2014-10-13,2014
6904,Prey: Mooncrash,PC,10-Jun-18,2018-06-10,2018
6905,Resident Evil: The Umbrella Chronicles,Wii,13-Nov-07,2007-11-13,2007
6906,Star Control: Origins,PC,20-Sep-18,2018-09-20,2018
6907,SteamWorld Dig: A Fistful of Dirt,Switch,01-Feb-18,2018-02-01,2018
6908,Rock Band VR,PC,06-Oct-16,2016-10-06,2016
6909,Edna & Harvey: Harvey's New Eyes,PC,16-Oct-12,2012-10-16,2012
6910,NiGHTS into Dreams...,PlayStation3,02-Oct-12,2012-10-02,2012
6911,Yakuza,PlayStation2,05-Sep-06,2006-09-05,2006
6912,Area 51,PlayStation2,25-Apr-05,2005-04-25,2005
6913,Pure Pool,PlayStation4,29-Jul-14,2014-07-29,2014
6914,Shadow of the Tomb Raider,PlayStation4,12-Sep-18,2018-09-12,2018
6915,Outlast 2,PC,25-Apr-17,2017-04-25,2017
6916,DOOM 64,PlayStation4,20-Mar-20,2020-03-20,2020
6917,Code Vein,XboxOne,27-Sep-19,2019-09-27,2019
6918,Silence,Switch,10-Apr-19,2019-04-10,2019
6919,Dragon Ball: Xenoverse 2,Switch,22-Sep-17,2017-09-22,2017
6920,Devil May Cry 4: Special Edition,PlayStation4,23-Jun-15,2015-06-23,2015
6921,FIFA Manager 11,PC,03-Nov-10,2010-11-03,2010
6922,Groovin' Blocks,Wii,08-Sep-08,2008-09-08,2008
6923,Tak: The Great Juju Challenge,Xbox,19-Sep-05,2005-09-19,2005
6924,NHL 2005,GameCube,20-Sep-04,2004-09-20,2004
6925,Patrician III: Rise of the Hanse,PC,31-Oct-03,2003-10-31,2003
6926,Space Colony,PC,14-Oct-03,2003-10-14,2003
6927,Tropico 2: Pirate Cove,PC,08-Apr-03,2003-04-08,2003
6928,Serious Sam,Xbox,10-Nov-02,2002-11-10,2002
6929,Mat Hoffman's Pro BMX 2,Xbox,12-Aug-02,2002-08-12,2002
6930,Atari Anniversary Advance,GameBoyAdvance,25-Mar-02,2002-03-25,2002
6931,Alone in the Dark: The New Nightmare,Dreamcast,24-Sep-01,2001-09-24,2001
6932,Armored Core 2: Another Age,PlayStation2,20-Aug-01,2001-08-20,2001
6933,Top Spin 2,Xbox360,29-Mar-06,2006-03-29,2006
6934,Mortal Shell,PlayStation4,18-Aug-20,2020-08-18,2020
6935,Wolfenstein: The Old Blood,XboxOne,05-May-15,2015-05-05,2015
6936,The Awesome Adventures of Captain Spirit,PlayStation4,25-Jun-18,2018-06-25,2018
6937,Resident Evil 7: biohazard - Banned Footage Vol. 1,PlayStation4,31-Jan-17,2017-01-31,2017
6938,Strike Vector EX,PlayStation4,30-Aug-16,2016-08-30,2016
6939,Space Run Galaxy,PC,17-Jun-16,2016-06-17,2016
6940,Don't Starve: Giant Edition,WiiU,28-May-15,2015-05-28,2015
6941,Avadon: The Black Fortress,PC,02-May-11,2011-05-02,2011
6942,Nanostray 2,DS,11-Mar-08,2008-03-11,2008
6943,NHL 2K6,Xbox360,16-Nov-05,2005-11-16,2005
6944,Command & Conquer: Renegade,PC,27-Feb-02,2002-02-27,2002
6945,After Burner Climax,PlayStation3,22-Apr-10,2010-04-22,2010
6946,Rick and Morty: Virtual Rick-ality,PC,15-Apr-17,2017-04-15,2017
6947,Strange Brigade,XboxOne,28-Aug-18,2018-08-28,2018
6948,SUPERHOT VR,PlayStation4,21-Jul-17,2017-07-21,2017
6949,Panzer General: Allied Assault,Xbox360,21-Oct-09,2009-10-21,2009
6950,The Surge 2,PlayStation4,24-Sep-19,2019-09-24,2019
6951,Hoard,PlayStation3,02-Nov-10,2010-11-02,2010
6952,Age of Empires III: Definitive Edition,PC,15-Oct-20,2020-10-15,2020
6953,Scribblenauts Unlimited,PC,19-Nov-12,2012-11-19,2012
6954,Activision Hits Remixed,PSP,08-Nov-06,2006-11-08,2006
6955,Mega Man X Collection,GameCube,10-Jan-06,2006-01-10,2006
6956,"The Lord of the Rings, The Third Age",Xbox,02-Nov-04,2004-11-02,2004
6957,Kenshi,PC,06-Dec-18,2018-12-06,2018
6958,Tempest 4000,XboxOne,17-Jul-18,2018-07-17,2018
6959,Watch Dogs 2,PC,28-Nov-16,2016-11-28,2016
6960,Killing Floor 2,PC,18-Nov-16,2016-11-18,2016
6961,Back to the Future: The Game - Episode I: It's About Time,PlayStation3,15-Feb-11,2011-02-15,2011
6962,Star Wars: Empire at War: Forces of Corruption,PC,24-Oct-06,2006-10-24,2006
6963,Battalion Wars 2,Wii,29-Oct-07,2007-10-29,2007
6964,Jet Set Radio,PlayStation3,18-Sep-12,2012-09-18,2012
6965,Overlord II,Xbox360,23-Jun-09,2009-06-23,2009
6966,Plants vs Zombies: Garden Warfare,PlayStation4,19-Aug-14,2014-08-19,2014
6967,Worms,Xbox360,07-Mar-07,2007-03-07,2007
6968,Sparklite,Switch,14-Nov-19,2019-11-14,2019
6969,Resident Evil 7: biohazard - End of Zoe,PlayStation4,12-Dec-17,2017-12-12,2017
6970,NHL 18,PlayStation4,12-Sep-17,2017-09-12,2017
6971,Minecraft: Story Mode - Episode 3: The Last Place You Look,XboxOne,24-Nov-15,2015-11-24,2015
6972,Reus,PC,16-May-13,2013-05-16,2013
6973,Black Mirror III: Final Fear,PC,19-Apr-11,2011-04-19,2011
6974,Sam & Max: Beyond Time and Space,Xbox360,14-Oct-09,2009-10-14,2009
6975,Buzz! The Mega Quiz,PlayStation2,30-Oct-07,2007-10-30,2007
6976,SkyGunner,PlayStation2,24-Jun-02,2002-06-24,2002
6977,Mario Tennis Aces,Switch,22-Jun-18,2018-06-22,2018
6978,Medal of Honor: Airborne,PlayStation3,19-Nov-07,2007-11-19,2007
6979,Tales of the Abyss,3DS,14-Feb-12,2012-02-14,2012
6980,NHL 07,Xbox,12-Sep-06,2006-09-12,2006
6981,Dragon's Dogma,Xbox360,22-May-12,2012-05-22,2012
6982,Second Sight,Xbox,21-Sep-04,2004-09-21,2004
6983,Red Faction: Armageddon,PC,06-Jun-11,2011-06-06,2011
6984,Paper Mario: Sticker Star,3DS,11-Nov-12,2012-11-11,2012
6985,We. The Revolution,PC,21-Mar-19,2019-03-21,2019
6986,Penny Arcade Adventures: Episode Two,Xbox360,29-Oct-08,2008-10-29,2008
6987,Unruly Heroes,PlayStation4,28-May-19,2019-05-28,2019
6988,Sega Rally Revo,PlayStation3,09-Oct-07,2007-10-09,2007
6989,Saints Row IV: Re-Elected,PlayStation4,20-Jan-15,2015-01-20,2015
6990,LEGO DC Super-Villains,Switch,16-Oct-18,2018-10-16,2018
6991,Just Dance 2018,PlayStation4,24-Oct-17,2017-10-24,2017
6992,Prince of Persia: The Forgotten Sands,PC,08-Jun-10,2010-06-08,2010
6993,Kingdom Hearts 3D: Dream Drop Distance,3DS,05-Jun-12,2012-06-05,2012
6994,Samurai Shodown,Switch,25-Feb-20,2020-02-25,2020
6995,FIFA Soccer 10,Wii,20-Oct-09,2009-10-20,2009
6996,Rock of Ages 2: Bigger & Boulder,Switch,14-May-19,2019-05-14,2019
6997,Rebel Galaxy,PC,20-Oct-15,2015-10-20,2015
6998,Dracula: Undead Awakening,PSP,28-Jan-10,2010-01-28,2010
6999,NHL 2005,PlayStation2,20-Sep-04,2004-09-20,2004
7000,Port Royale 2,PC,13-Sep-04,2004-09-13,2004
7001,Sabre Wulf,GameBoyAdvance,09-Jun-04,2004-06-09,2004
7002,Dragon Ball Z: The Legacy of Goku II,GameBoyAdvance,17-Jun-03,2003-06-17,2003
7003,Ready 2 Rumble Boxing: Round 2,PlayStation2,23-Oct-00,2000-10-23,2000
7004,Forsaken 64,Nintendo64,30-Apr-98,1998-04-30,1998
7005,S.T.A.L.K.E.R.: Clear Sky,PC,15-Sep-08,2008-09-15,2008
7006,Beholder,PC,09-Nov-16,2016-11-09,2016
7007,EA Sports UFC 3,PlayStation4,30-Jan-18,2018-01-30,2018
7008,The Dark Pictures - Man of Medan,PC,29-Aug-19,2019-08-29,2019
7009,Observer,Switch,07-Feb-19,2019-02-07,2019
7010,Need for Speed: Rivals,XboxOne,22-Nov-13,2013-11-22,2013
7011,Bit.Trip Saga,3DS,13-Sep-11,2011-09-13,2011
7012,Satellite Reign,PC,28-Aug-15,2015-08-28,2015
7013,NBA Live 09,PlayStation3,07-Oct-08,2008-10-07,2008
7014,The Legendary Starfy,DS,07-Jun-09,2009-06-07,2009
7015,Disney Infinity,PlayStation3,18-Aug-13,2013-08-18,2013
7016,The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,PlayStation4,14-Aug-18,2018-08-14,2018
7017,Infested Planet,PC,06-Mar-14,2014-03-06,2014
7018,NCAA Basketball 10,Xbox360,16-Nov-09,2009-11-16,2009
7019,Mortal Kombat: Armageddon,PlayStation2,09-Oct-06,2006-10-09,2006
7020,Hohokum,PlayStation4,12-Aug-14,2014-08-12,2014
7021,Void Bastards,XboxOne,29-May-19,2019-05-29,2019
7022,Vaporum,PC,28-Sep-17,2017-09-28,2017
7023,Middle-earth: Shadow of War,PC,09-Oct-17,2017-10-09,2017
7024,Resident Evil: Revelations,Xbox360,21-May-13,2013-05-21,2013
7025,Need for Speed Carbon,PlayStation3,16-Nov-06,2006-11-16,2006
7026,Heavy Rain Chronicles Episode 1: The Taxidermist,PlayStation3,04-Apr-10,2010-04-04,2010
7027,Last Day of June,PC,31-Aug-17,2017-08-31,2017
7028,Sega Genesis Classics,PlayStation4,29-May-18,2018-05-29,2018
7029,Seasons After Fall,PC,02-Sep-16,2016-09-02,2016
7030,Descenders,PlayStation4,25-Aug-20,2020-08-25,2020
7031,Defector,PC,11-Jul-19,2019-07-11,2019
7032,The Mummy Demastered,Switch,24-Oct-17,2017-10-24,2017
7033,Sly Cooper: Thieves in Time,PlayStationVita,05-Feb-13,2013-02-05,2013
7034,Knights in the Nightmare,PSP,05-Nov-10,2010-11-05,2010
7035,NCAA Basketball 10,PlayStation3,16-Nov-09,2009-11-16,2009
7036,Gyromancer,Xbox360,18-Nov-09,2009-11-18,2009
7037,Killing Floor 2,PlayStation4,16-Nov-16,2016-11-16,2016
7038,Baten Kaitos Origins,GameCube,25-Sep-06,2006-09-25,2006
7039,The Persistence,XboxOne,21-May-20,2020-05-21,2020
7040,Deus Ex: Mankind Divided - System Rift,PlayStation4,27-Sep-16,2016-09-27,2016
7041,Hitman - Intro Pack,XboxOne,11-Mar-16,2016-03-11,2016
7042,Back to the Future: The Game - Episode V: OUTATIME,PC,23-Jun-11,2011-06-23,2011
7043,Stuntman: Ignition,Xbox360,28-Aug-07,2007-08-28,2007
7044,Tomb Raider: Underworld,PlayStation3,18-Nov-08,2008-11-18,2008
7045,Hakuoki: Edo Blossoms,PlayStationVita,13-Mar-18,2018-03-13,2018
7046,Speed Racer,DS,06-May-08,2008-05-06,2008
7047,The Suffering: Ties That Bind,PlayStation2,26-Sep-05,2005-09-26,2005
7048,Awesomenauts,PlayStation3,01-May-12,2012-05-01,2012
7049,NCAA Football 07,PSP,18-Jul-06,2006-07-18,2006
7050,The Golf Club 2019 featuring PGA Tour,PlayStation4,28-Aug-18,2018-08-28,2018
7051,Tesla vs Lovecraft,XboxOne,16-Mar-18,2018-03-16,2018
7052,Actual Sunlight,PlayStationVita,11-Aug-15,2015-08-11,2015
7053,ETHER One,PlayStation4,05-May-15,2015-05-05,2015
7054,Hustle Kings,PlayStationVita,21-Feb-12,2012-02-21,2012
7055,Resident Evil: The Darkside Chronicles,Wii,17-Nov-09,2009-11-17,2009
7056,Command & Conquer: Red Alert 3,PlayStation3,23-Mar-09,2009-03-23,2009
7057,Naruto: Ultimate Ninja,PlayStation2,26-Jun-06,2006-06-26,2006
7058,Rayman 3: Hoodlum Havoc,Xbox,18-Mar-03,2003-03-18,2003
7059,Activision Anthology,PlayStation2,19-Nov-02,2002-11-19,2002
7060,Chicken Run,PlayStation,13-Nov-00,2000-11-13,2000
7061,A Rose in the Twilight,PlayStationVita,11-Apr-17,2017-04-11,2017
7062,Absolver,PC,29-Aug-17,2017-08-29,2017
7063,Dreamfall: The Longest Journey,PC,17-Apr-06,2006-04-17,2006
7064,Remothered: Tormented Fathers,PlayStation4,25-Jul-18,2018-07-25,2018
7065,TrackMania DS,DS,17-Mar-09,2009-03-17,2009
7066,Metal Gear Solid V: Ground Zeroes,PlayStation4,18-Mar-14,2014-03-18,2014
7067,Deemo Reborn,PlayStation4,21-Nov-19,2019-11-21,2019
7068,Ace Combat X: Skies of Deception,PSP,23-Oct-06,2006-10-23,2006
7069,F.E.A.R. 3,Xbox360,21-Jun-11,2011-06-21,2011
7070,Battle of Britain II: Wings of Victory,PC,12-Sep-05,2005-09-12,2005
7071,Tony Hawk's American Wasteland,Xbox360,16-Nov-05,2005-11-16,2005
7072,MVP 06 NCAA Baseball,Xbox,18-Jan-06,2006-01-18,2006
7073,Bomber Crew,Switch,10-Jul-18,2018-07-10,2018
7074,Hitman - Episode 3: Marrakesh,PlayStation4,31-May-16,2016-05-31,2016
7075,Battlezone 98 Redux,PC,18-Apr-16,2016-04-18,2016
7076,Dementium II,DS,04-May-10,2010-05-04,2010
7077,Lego Star Wars,GameBoyAdvance,29-Mar-05,2005-03-29,2005
7078,Shin Megami Tensei: Persona 2 - Innocent Sin,PSP,20-Sep-11,2011-09-20,2011
7079,Blitzkrieg 2,PC,02-Oct-05,2005-10-02,2005
7080,Resident Evil: Revelations 2 - Episode 2: Contemplation,PlayStation4,03-Mar-15,2015-03-03,2015
7081,Tropico 5,PC,23-May-14,2014-05-23,2014
7082,LEGO Batman: The Videogame,PlayStation3,23-Sep-08,2008-09-23,2008
7083,Blacklight: Retribution,PC,03-Apr-12,2012-04-03,2012
7084,One Piece: Pirate Warriors 4,PlayStation4,27-Mar-20,2020-03-27,2020
7085,Cattails,Switch,29-Nov-18,2018-11-29,2018
7086,Sonic & Sega All-Stars Racing with Banjo-Kazooie,Xbox360,23-Feb-10,2010-02-23,2010
7087,Mortal Shell,XboxOne,18-Aug-20,2020-08-18,2020
7088,God's Trigger,PC,18-Apr-19,2019-04-18,2019
7089,MTX Mototrax,PC,15-Nov-04,2004-11-15,2004
7090,Dante's Inferno,PlayStation3,09-Feb-10,2010-02-09,2010
7091,Silence: The Whispered World 2,PC,15-Nov-16,2016-11-15,2016
7092,Life is Strange 2: Episode 3 - Wastelands,PlayStation4,09-May-19,2019-05-09,2019
7093,Ys: Memories of Celceta,PlayStation4,09-Jun-20,2020-06-09,2020
7094,Infinite Space,DS,16-Mar-10,2010-03-16,2010
7095,Donut County,PlayStation4,28-Aug-18,2018-08-28,2018
7096,FIFA Manager 10,PC,30-Oct-09,2009-10-30,2009
7097,Etherborn,PlayStation4,18-Jul-19,2019-07-18,2019
7098,Battle Chasers: Nightwar,PlayStation4,03-Oct-17,2017-10-03,2017
7099,F.E.A.R. Extraction Point,PC,24-Oct-06,2006-10-24,2006
7100,Battle Chasers: Nightwar,PlayStation4,03-Oct-17,2017-10-03,2017
7101,F.E.A.R. Extraction Point,PC,24-Oct-06,2006-10-24,2006
7102,Medal of Honor,PlayStation3,12-Oct-10,2010-10-12,2010
7103,Evil Genius,PC,28-Sep-04,2004-09-28,2004
7104,"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",PC,15-Jun-09,2009-06-15,2009
7105,Digimon Story Cyber Sleuth,PlayStation4,02-Feb-16,2016-02-02,2016
7106,Norn9: Var Commons,PlayStationVita,03-Nov-15,2015-11-03,2015
7107,Noby Noby Boy,PlayStation3,19-Feb-09,2009-02-19,2009
7108,Tempest 4000,PlayStation4,17-Jul-18,2018-07-17,2018
7109,Prince of Persia: The Forgotten Sands,PlayStation3,18-May-10,2010-05-18,2010
7110,Shardlight,PC,08-Mar-16,2016-03-08,2016
7111,Naruto: Ultimate Ninja 3,PlayStation2,25-Mar-08,2008-03-25,2008
7112,Tropico 3,Xbox360,16-Feb-10,2010-02-16,2010
7113,LUNA The Shadow Dust,PC,13-Feb-20,2020-02-13,2020
7114,Sonic & All-Stars Racing Transformed,PlayStationVita,18-Dec-12,2012-12-18,2012
7115,Buffy the Vampire Slayer: Chaos Bleeds,GameCube,28-Aug-03,2003-08-28,2003
7116,.hack//Infection Part 1,PlayStation2,10-Feb-03,2003-02-10,2003
7117,Sonic Mega Collection,GameCube,10-Nov-02,2002-11-10,2002
7118,Burnout,Xbox,29-Apr-02,2002-04-29,2002
7119,Jackie Chan Adventures,GameBoyAdvance,06-Nov-01,2001-11-06,2001
7120,Le Mans 24 Hours,PlayStation2,13-Aug-01,2001-08-13,2001
7121,Army Men: Air Attack 2,PlayStation2,23-Mar-01,2001-03-23,2001
7122,Indiana Jones and the Infernal Machine,Nintendo64,14-Dec-00,2000-12-14,2000
7123,Jazzpunk,PC,07-Feb-14,2014-02-07,2014
7124,The Long Dark,PlayStation4,01-Aug-17,2017-08-01,2017
7125,Gran Turismo Sport,PlayStation4,17-Oct-17,2017-10-17,2017
7126,MIND: Path to Thalamus,PC,05-Aug-14,2014-08-05,2014
7127,I Am Alive,PlayStation3,03-Apr-12,2012-04-03,2012
7128,Etrian Odyssey,DS,15-May-07,2007-05-15,2007
7129,Fallout 4: Far Harbor,PlayStation4,19-May-16,2016-05-19,2016
7130,Bejeweled 3,DS,15-Nov-11,2011-11-15,2011
7131,Bomberman,DS,21-Jun-05,2005-06-21,2005
7132,Worms W.M.D,XboxOne,23-Aug-16,2016-08-23,2016
7133,Figment,Switch,28-Jun-18,2018-06-28,2018
7134,Atom Zombie Smasher,PC,23-Jan-11,2011-01-23,2011
7135,Left 4 Dead 2: The Passing,PC,22-Apr-10,2010-04-22,2010
7136,Beyond Blue,PlayStation4,11-Jun-20,2020-06-11,2020
7137,Batman: The Telltale Series - Episode 5: City of Light,PC,13-Dec-16,2016-12-13,2016
7138,Blade Strangers,Switch,28-Aug-18,2018-08-28,2018
7139,Unreal II: The Awakening,PC,03-Feb-03,2003-02-03,2003
7140,Bulletstorm: Full Clip Edition,PlayStation4,07-Apr-17,2017-04-07,2017
7141,Stikbold! A Dodgeball Adventure,PlayStation4,05-Apr-16,2016-04-05,2016
7142,Atelier Sophie: The Alchemist of the Mysterious Book,PlayStation4,07-Jun-16,2016-06-07,2016
7143,Inazuma Eleven Go: Shadow,3DS,13-Jun-14,2014-06-13,2014
7144,WWE All Stars,Xbox360,29-Mar-11,2011-03-29,2011
7145,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox360,15-Jun-11,2011-06-15,2011
7146,Life is Strange: Episode 1 - Chrysalis,PlayStation4,30-Jan-15,2015-01-30,2015
7147,Star Wars Battlefront,XboxOne,17-Nov-15,2015-11-17,2015
7148,Yooka-Laylee,Switch,14-Dec-17,2017-12-14,2017
7149,Dance Dance Revolution Ultramix 3,Xbox,15-Nov-05,2005-11-15,2005
7150,Two Worlds II,PC,03-Feb-11,2011-02-03,2011
7151,Cloudberry Kingdom,PlayStation3,30-Jul-13,2013-07-30,2013
7152,Tiger Woods PGA Tour 13,PlayStation3,27-Mar-12,2012-03-27,2012
7153,Far Cry New Dawn,XboxOne,15-Feb-19,2019-02-15,2019
7154,Zubo,DS,10-Mar-09,2009-03-10,2009
7155,Grow Home,PC,04-Feb-15,2015-02-04,2015
7156,The House of the Dead: Overkill - Extended Cut,PlayStation3,25-Oct-11,2011-10-25,2011
7157,DiRT Showdown,PlayStation3,12-Jun-12,2012-06-12,2012
7158,Iron Harvest,PC,01-Sep-20,2020-09-01,2020
7159,Fable III,PC,17-May-11,2011-05-17,2011
7160,Mario Kart Live: Home Circuit,Switch,16-Oct-20,2020-10-16,2020
7161,FIFA 21,PC,09-Oct-20,2020-10-09,2020
7162,Superliminal,Switch,07-Jul-20,2020-07-07,2020
7163,Death Come True,Switch,24-Jun-20,2020-06-24,2020
7164,"Yes, Your Grace",PC,06-Mar-20,2020-03-06,2020
7165,Candleman,Switch,03-Oct-19,2019-10-03,2019
7166,Headliner: NoviNews,Switch,05-Sep-19,2019-09-05,2019
7167,We. The Revolution,Switch,25-Jun-19,2019-06-25,2019
7168,MotoGP 19,XboxOne,06-Jun-19,2019-06-06,2019
7169,X-Morph: Defense,Switch,21-Feb-19,2019-02-21,2019
7170,City of Brass,Switch,08-Feb-19,2019-02-08,2019
7171,The Council - Episode 4: Burning Bridges,PlayStation4,25-Sep-18,2018-09-25,2018
7172,Labyrinth of Refrain: Coven of Dusk,Switch,18-Sep-18,2018-09-18,2018
7173,ONRUSH,PlayStation4,05-Jun-18,2018-06-05,2018
7174,The Council - Episode 1: The Mad Ones,PlayStation4,13-Mar-18,2018-03-13,2018
7175,Graceful Explosion Machine,PlayStation4,08-Aug-17,2017-08-08,2017
7176,Bulb Boy,Switch,06-Jul-17,2017-07-06,2017
7177,Stars in Shadow,PC,19-Jan-17,2017-01-19,2017
7178,Batman: The Telltale Series - Episode 4: Guardian of Gotham,XboxOne,22-Nov-16,2016-11-22,2016
7179,Road to Ballhalla,PC,05-Aug-16,2016-08-05,2016
7180,Resident Evil 5,XboxOne,28-Jun-16,2016-06-28,2016
7181,Dengeki Bunko: Fighting Climax,PlayStationVita,06-Oct-15,2015-10-06,2015
7182,Airscape: The Fall of Gravity,PC,11-Aug-15,2015-08-11,2015
7183,Call of Duty: Advanced Warfare - Reckoning,XboxOne,04-Aug-15,2015-08-04,2015
7184,Call of Duty: Advanced Warfare - Ascendance,XboxOne,31-Mar-15,2015-03-31,2015
7185,GRID Autosport,Xbox360,24-Jun-14,2014-06-24,2014
7186,Blood of the Werewolf,Xbox360,11-Jun-14,2014-06-11,2014
7187,Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,XboxOne,09-Jun-14,2014-06-09,2014
7188,Akai Katana,Xbox360,15-May-12,2012-05-15,2012
7189,Supreme Commander 2,Xbox360,17-Mar-10,2010-03-17,2010
7190,The Sims 2 Apartment Life,PC,26-Aug-08,2008-08-26,2008
7191,NBA 08,PSP,12-Oct-07,2007-10-12,2007
7192,City Life: World Edition,PC,09-Feb-07,2007-02-09,2007
7193,Bust-A-Move DS,DS,06-Dec-05,2005-12-06,2005
7194,Legacy of Kain: Defiance,PlayStation2,11-Nov-03,2003-11-11,2003
7195,kill.switch,Xbox,28-Oct-03,2003-10-28,2003
7196,Star Wars Rogue Squadron III: Rebel Strike,GameCube,15-Oct-03,2003-10-15,2003
7197,Savage: The Battle for Newerth,PC,09-Sep-03,2003-09-09,2003
7198,Hegemonia: Legions of Iron,PC,13-Nov-02,2002-11-13,2002
7199,Need for Speed: Hot Pursuit 2,Xbox,01-Oct-02,2002-10-01,2002
7200,World Driver Championship,Nintendo64,31-May-99,1999-05-31,1999
7201,WWE All Stars,PlayStation3,29-Mar-11,2011-03-29,2011
7202,Last Day of June,PlayStation4,31-Aug-17,2017-08-31,2017
7203,Def Jam Rapstar,PlayStation3,05-Oct-10,2010-10-05,2010
7204,Rugby 2005,Xbox,08-Mar-05,2005-03-08,2005
7205,Payday 2,Xbox360,13-Aug-13,2013-08-13,2013
7206,Zone of the Enders HD Collection,Xbox360,30-Oct-12,2012-10-30,2012
7207,Ridge Racer 3D,3DS,22-Mar-11,2011-03-22,2011
7208,Painkiller: Battle out of Hell,PC,01-Dec-04,2004-12-01,2004
7209,Art Academy,DS,26-Oct-10,2010-10-26,2010
7210,Bloody Roar: Primal Fury,GameCube,18-Mar-02,2002-03-18,2002
7211,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,PlayStationVita,19-Jan-16,2016-01-19,2016
7212,SingStar Country,PlayStation2,28-Oct-08,2008-10-28,2008
7213,Fate/Extella Link,PlayStation4,19-Mar-19,2019-03-19,2019
7214,Below,PlayStation4,07-Apr-20,2020-04-07,2020
7215,Call of Duty: World at War,DS,10-Nov-08,2008-11-10,2008
7216,Black & White 2,PC,04-Oct-05,2005-10-04,2005
7217,Raiden V,XboxOne,11-May-16,2016-05-11,2016
7218,Pursuit Force,PSP,07-Mar-06,2006-03-07,2006
