,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
135,Undertale,Switch,18-Sep-18,2018-09-18,2018
136,Persona 4 Golden,PlayStationVita,20-Nov-12,2012-11-20,2012
137,Persona 5,PlayStation4,04-Apr-17,2017-04-04,2017
138,Red Dead Redemption 2,PC,05-Nov-19,2019-11-05,2019
139,SSX 3,PlayStation2,20-Oct-03,2003-10-20,2003
140,Tom Clancy's Splinter Cell,Xbox,17-Nov-02,2002-11-17,2002
141,Grand Theft Auto III,PC,20-May-02,2002-05-20,2002
142,Quake III Arena,Dreamcast,22-Oct-00,2000-10-22,2000
143,Homeworld,PC,31-Aug-99,1999-08-31,1999
144,Okami,PlayStation2,19-Sep-06,2006-09-19,2006
145,The Elder Scrolls IV: Oblivion,PlayStation3,20-Mar-07,2007-03-20,2007
146,Fallout 3,Xbox360,28-Oct-08,2008-10-28,2008
147,Gears of War 2,Xbox360,07-Nov-08,2008-11-07,2008
148,SoulCalibur II,GameCube,27-Aug-03,2003-08-27,2003
149,World Soccer Winning Eleven 6 International,PlayStation2,11-Mar-03,2003-03-11,2003
150,NFL 2K3,PlayStation2,12-Aug-02,2002-08-12,2002
151,Mass Effect 3,Xbox360,06-Mar-12,2012-03-06,2012
152,Metal Gear Solid V: The Phantom Pain,PlayStation4,01-Sep-15,2015-09-01,2015
153,Skies of Arcadia,Dreamcast,13-Nov-00,2000-11-13,2000
154,The Legend of Zelda: Skyward Sword,Wii,20-Nov-11,2011-11-20,2011
155,Mario Kart Super Circuit,GameBoyAdvance,26-Aug-01,2001-08-26,2001
156,Rock Band 3,Xbox360,26-Oct-10,2010-10-26,2010
157,Viewtiful Joe,GameCube,07-Oct-03,2003-10-07,2003
158,Test Drive Le Mans,Dreamcast,13-Nov-00,2000-11-13,2000
159,NBA 2K1,Dreamcast,01-Nov-00,2000-11-01,2000
160,Castlevania: Symphony of the Night,PlayStation,02-Oct-97,1997-10-02,1997
161,Star Wars: Knights of the Old Republic,PC,18-Nov-03,2003-11-18,2003
162,Virtua Fighter 4: Evolution,PlayStation2,13-Aug-03,2003-08-13,2003
163,Uncharted 4: A Thief's End,PlayStation4,10-May-16,2016-05-10,2016
164,Super Smash Bros. Ultimate,Switch,07-Dec-18,2018-12-07,2018
165,Braid,PlayStation3,12-Nov-09,2009-11-12,2009
166,Mass Effect 3,PlayStation3,05-Mar-12,2012-03-05,2012
167,Paper Mario,Nintendo64,05-Feb-01,2001-02-05,2001
168,Wipeout XL,PlayStation,30-Sep-96,1996-09-30,1996
169,Grand Theft Auto: San Andreas,Xbox,07-Jun-05,2005-06-07,2005
170,Resident Evil 2,XboxOne,25-Jan-19,2019-01-25,2019
171,INSIDE,XboxOne,29-Jun-16,2016-06-29,2016
172,World of Warcraft,PC,23-Nov-04,2004-11-23,2004
173,Grand Theft Auto: San Andreas,PC,07-Jun-05,2005-06-07,2005
174,Flipnote Studio,DS,12-Aug-09,2009-08-12,2009
175,World Soccer Winning Eleven 7 International,PlayStation2,17-Feb-04,2004-02-17,2004
176,NBA 2K2,Dreamcast,24-Oct-01,2001-10-24,2001
177,SoulCalibur II,PlayStation2,27-Aug-03,2003-08-27,2003
178,The Elder Scrolls V: Skyrim,PlayStation3,11-Nov-11,2011-11-11,2011
179,Hades,PC,17-Sep-20,2020-09-17,2020
180,Prince of Persia: The Sands of Time,Xbox,12-Nov-03,2003-11-12,2003
181,Call of Duty 4: Modern Warfare,PC,05-Nov-07,2007-11-05,2007
182,Forza Horizon 4,XboxOne,28-Sep-18,2018-09-28,2018
183,God of War III,PlayStation3,16-Mar-10,2010-03-16,2010
184,Divinity: Original Sin II - Definitive Edition,XboxOne,31-Aug-18,2018-08-31,2018
185,NFL 2K3,GameCube,21-Aug-02,2002-08-21,2002
186,SSX Tricky,PlayStation2,05-Nov-01,2001-11-05,2001
187,NHL 2002,PlayStation2,24-Sep-01,2001-09-24,2001
