name,platform,r-date,developer,genre,players
Kessen III,PlayStation2,22-Feb-05,Koei,"Strategy,Real-Time,Historic",1 Player
"What Did I Do to Deserve This, My Lord!? 2",PSP,29-Apr-10,Acquire,"Role-Playing,Strategy,General,General",No Online Multiplayer
Game of Thrones: Episode Two - The Lost Lords,PC,03-Feb-15,TelltaleGames,"Action,Adventure,General,Point-and-Click",No Online Multiplayer
Call of Duty: Ghosts,Xbox360,05-Nov-13,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info
Scrapland,Xbox,28-Feb-05,MercurySteam,"Action Adventure,Sci-Fi",4  Online
Pursuit Force: Extreme Justice,PSP,29-Jan-08,BigbigStudios,"Simulation,Driving,Car Combat,Car Combat,Vehicle,Combat",4  Online
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PlayStation4,22-Nov-16,TelltaleGames,"Adventure,Point-and-Click",No info
Phantom Doctrine,PC,14-Aug-18,CreativeForgeGames,"Strategy,Turn-Based,General",Online Multiplayer
Namco Museum Battle Collection,PSP,23-Aug-05,TOSE,"Miscellaneous,Compilation,Compilation",04-Jan
Yggdra Union: We'll Never Fight Alone,PSP,16-Sep-08,Sting,"Role-Playing,Strategy,Turn-Based,General,General,Historic,Tactics",No Online Multiplayer
NBA Live 08,Xbox360,01-Oct-07,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",Up to 4 
Naruto: Ultimate Ninja 2,PlayStation2,12-Jun-07,CyberConnect2,"Action,Fighting,3D",02-Jan
Sherlock Holmes: Crimes & Punishments,PlayStation4,30-Sep-14,Frogwares,"Adventure,General",No info
Disc Jam,Switch,08-Feb-18,HighHorseEntertainment,"Sports,Team,Futuristic",Up to 4 
Ladykiller in a Bind,PC,10-Oct-16,LoveConquersAllGames,"Action Adventure,General,Adventure,Visual Novel",No info
Disney/Pixar Toy Story 3,PC,15-Jun-10,AvalancheSoftware,"Action,General,General",No Online Multiplayer
New International Track & Field,DS,22-Jul-08,SumoDigital,"Sports,Olympic Sports,Olympic Sports,Individual,Athletics",4  Online
FlatOut 2,PlayStation2,01-Aug-06,Bugbear,"Driving,Demolition Derby",6  Online
Medal of Honor Heroes 2,Wii,13-Nov-07,EACanada,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No Online Multiplayer
Aragami: Shadow Edition,Switch,21-Feb-19,LinceWorks,"Action Adventure,General",2
Super Mario Maker for Nintendo 3DS,3DS,02-Dec-16,Nintendo,"Action,Platformer,2D",No info
The Deadly Tower of Monsters,PC,19-Jan-16,ACETeam,"Action Adventure,Linear",No Online Multiplayer
Resident Evil: Revelations 2 - Episode 1: Penal Colony,PC,24-Feb-15,Capcom,"Action Adventure,Survival",No info
The Testament of Sherlock Holmes,PC,25-Sep-12,Frogwares,"Adventure,General,General",No Online Multiplayer
Europa Universalis: Rome,PC,15-Apr-08,ParadoxDevelopmentStudio,"Strategy,General,General",32  Online
11-11: Memories Retold,PC,08-Nov-18,DigixartEntertainment,"Adventure,General,3D,Third-Person",No Online Multiplayer
Hammerin' Hero,PSP,07-Apr-09,Irem,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",02-Jan
Dead or Alive Xtreme Beach Volleyball,Xbox,22-Jan-03,TeamNinja,"Sports,Traditional,Volleyball",02-Jan
Shadow Warrior,PC,26-Sep-13,FlyingWildHog,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",No Online Multiplayer
NBA Live 19,PlayStation4,07-Sep-18,"EASports,EATiburon","Sports,Team,Basketball,Sim",Up to 10 
Mini Ninjas,PlayStation3,08-Sep-09,IoInteractive,"Action Adventure,Adventure,General,Fantasy,General,Fantasy",No info
Tiger Woods PGA Tour 07,PC,10-Oct-06,EARedwoodShores,"Sports,Traditional,Individual,Golf,Sim,Sim",4  Online
Far Cry New Dawn,PC,15-Feb-19,UbisoftMontreal,"Action,Shooter,First-Person,Arcade",Online Multiplayer
XIII,GameCube,24-Nov-03,UbisoftParis,"Action,Shooter,First-Person,Fantasy",04-Jan
Your Shape: Fitness Evolved,Xbox360,04-Nov-10,UbisoftMontreal,"Sports,Miscellaneous,General,Exercise / Fitness",No Online Multiplayer
Army of Two: The 40th Day,Xbox360,12-Jan-10,EAMontreal,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade",Up to 10 
Killzone: Shadow Fall,PlayStation4,15-Nov-13,Guerrilla,"Shooter,Sci-Fi,Action,Shooter,First-Person,Sci-Fi,Arcade",Up to 24 
Life Goes On,PC,17-Apr-14,InfiniteMonkeys,"Platformer,2D,Action,Platformer,2D",No Online Multiplayer
The House of the Dead 4,PlayStation3,17-Apr-12,Sega,"Action,Shooter,Shooter,Light Gun,Light Gun",No info
Battlefield Hardline,PlayStation4,17-Mar-15,VisceralGames,"Modern,Action,Shooter,First-Person,Tactical,Arcade",Up to more than 64 
Red Dead Revolver,PlayStation2,03-May-04,RockstarSanDiego,"Action,Shooter,Third-Person,Historic",02-Jan
Resident Evil 5: Desperate Escape,PlayStation3,04-Mar-10,Capcom,"Action Adventure,Horror,Horror,Survival",No info
Puchi Puchi Virus,DS,20-May-09,JalecoEntertainment,"Action,General,General",02-Jan
The Egyptian Prophecy,PC,30-Mar-04,DreamCatcherInteractive,"Adventure,General,General",1 Player
1080: Avalanche,GameCube,01-Dec-03,Nintendo,"Sports,Alternative,Snowboarding",04-Jan
James Bond 007: Everything or Nothing,GameBoyAdvance,17-Nov-03,GriptoniteGames,"Action,Shooter,Third-Person,Modern",04-Jan
Voodoo Vince,Xbox,23-Sep-03,BeepIndustries,"Action,Platformer,3D",1 Player
Indiana Jones and the Emperor's Tomb,Xbox,24-Feb-03,DoubleHelixGames,"Action Adventure,Fantasy",1 Player
Red Dog: Superior Firepower,Dreamcast,31-Oct-00,ArgonautGames,"Driving,Car Combat",No info
Death Track Racing,PC,10-Oct-00,AttentionToDetail,"Driving,Racing,Arcade,Futuristic,Futuristic",04-Jan
Sanity: Aiken's Artifact,PC,26-Sep-00,MonolithProductions,"Action,General,General",08-Jan
The Urbz: Sims in the City,GameCube,09-Nov-04,Maxis,"Miscellaneous,Virtual Life",02-Jan
Luminous Arc 2,DS,18-Nov-08,"ImageEpoch,Imageepoch","Role-Playing,Strategy,Turn-Based,General,General,Tactics",1 Player
Cloudpunk,PC,23-Apr-20,IONLANDS,"Simulation,Vehicle,Civilian",No Online Multiplayer
FlatOut 2,Xbox,01-Aug-06,Bugbear,"Driving,Demolition Derby",8  Online
WarioWare D.I.Y. Showcase,Wii,29-Mar-10,IntelligentSystems,"Miscellaneous,Party,Party,Party / Minigame",04-Jan
Destiny 2: Shadowkeep,XboxOne,01-Oct-19,Bungie,"Action,Shooter,First-Person,Arcade",Up to 16 
Just Cause,Xbox360,27-Sep-06,AvalancheStudios,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer
Jetpac Refuelled,Xbox360,24-Oct-06,RareLtd.,"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling",2  Online
Ultratron,WiiU,14-May-15,"PuppyGames,CarbonGames","Action,Shooter,Shoot-'Em-Up,Top-Down,Vertical",No info
The Sims 2: Castaway,Wii,23-Oct-07,Maxis,"Simulation,Miscellaneous,General,Virtual,Virtual Life",No Online Multiplayer
Control: AWE,PC,27-Aug-20,RemedyEntertainment,"Action Adventure,General",No info
A Normal Lost Phone,Switch,01-Mar-18,PlugInDigital,"Simulation,General",No Online Multiplayer
Chicken Wiggle,3DS,17-Aug-17,AtooiLLC,"Action,Platformer,2D",No info
The Saboteur,Xbox360,08-Dec-09,PandemicStudios,"Action Adventure,Historic,Historic,Open-World",No info
My Spanish Coach,DS,06-Nov-07,"Ubisoft,SensorySweep","Miscellaneous,Edutainment,Edutainment",1 Player
Sonic Mega Collection Plus,PlayStation2,02-Nov-04,SonicTeam,"Miscellaneous,Compilation",02-Jan
FIFA Soccer 11,Wii,04-Oct-10,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",No info
Black Desert Online,PC,03-Mar-16,PearlAbyss,"Role-Playing,Massively Multiplayer",Online Multiplayer
LittleBigPlanet Karting,PlayStation3,06-Nov-12,"MediaMolecule,UnitedFrontGames","Driving,Racing,Arcade,Kart,Kart,Automobile",Up to 8 
Medal of Honor: Airborne,Xbox360,04-Sep-07,ElectronicArts,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",Up to 12 
MirrorMoon EP,PC,04-Sep-13,SantaRagione,"Miscellaneous,Puzzle,General,Puzzle,General",No info
Yoshi Touch & Go,DS,14-Mar-05,Nintendo,"Action,Platformer,Platformer,2D,2D",02-Jan
The Elder Scrolls V: Skyrim - Dawnguard,Xbox360,26-Jun-12,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No info
Motocross Madness,Xbox360,10-Apr-13,Bongfish,"Driving,Racing,General,General,Arcade,Automobile",No info
Scott Pilgrim vs. the World: The Game,Xbox360,25-Aug-10,UbisoftMontreal,"Action,General,Beat-'Em-Up,Beat-'Em-Up,2D",No info
NFL Street 2 Unleashed,PSP,21-Mar-05,EATiburon,"Sports,Traditional,Team,Football,Arcade,Arcade",02-Jan
Oceanhorn 2: Knights of the Lost Realm,Switch,28-Oct-20,Cornfox&Bros.,"Action Adventure,Open-World",No Online Multiplayer
Ikenfell,Switch,08-Oct-20,HappyRayGames,"Role-Playing,Japanese-Style",No Online Multiplayer
Moero Crystal H,Switch,17-Sep-20,IdeaFactory,"Role-Playing,Action RPG",No Online Multiplayer
Final Fantasy VIII Remastered,PC,03-Sep-19,SquareEnix,"Role-Playing,Japanese-Style",No Online Multiplayer
Quarantine Circular,PC,22-May-18,MikeBithell,"Adventure,Text",No Online Multiplayer
Max: The Curse of Brotherhood,Switch,21-Dec-17,StageClearStudios,"Action Adventure,General",No Online Multiplayer
Just Dance 2017,XboxOne,25-Oct-16,UbisoftParis,"Action,Rhythm,Dancing",No info
Just Dance 2017,PlayStation4,25-Oct-16,UbisoftParis,"Action,Rhythm,Dancing",No info
Jotun: Valhalla Edition,XboxOne,09-Sep-16,ThunderLotusGames,"Action,General",No info
Another World: 20th Anniversary Edition,WiiU,19-Jun-14,TheDigitalLounge,"Action,Platformer,2D",No Online Multiplayer
Bandfuse: Rock Legends,Xbox360,19-Nov-13,RealtaEntertainmentGroup,"Music,Action,Miscellaneous,Rhythm,Music",No info
Crash: Mind Over Mutant,PlayStation2,07-Oct-08,RadicalEntertainment,"Action,Platformer,3D",No info
All-Pro Football 2K8,PlayStation3,16-Jul-07,VisualConcepts,"Sports,Traditional,Team,Football,Sim,Sim",Up to 14 
Mario Party 9,Wii,11-Mar-12,NdCube,"Miscellaneous,Party,Party,Party / Minigame",No Online Multiplayer
Project Spark,XboxOne,04-Mar-14,MicrosoftGameStudios,"General,Action,Action Adventure,General,Sandbox",No info
Assassin's Creed III - The Infamy,Xbox360,19-Feb-13,UbisoftQuebec,"Action Adventure,Historic,Historic,Open-World",No info
Orcs Must Die! 3,Stadia,14-Jul-20,RobotEntertainment,"Strategy,Real-Time,Defense",No Online Multiplayer
Assassin's Creed III - The Infamy,Xbox360,19-Feb-13,UbisoftQuebec,"Action Adventure,Historic,Historic,Open-World",No info
Orcs Must Die! 3,Stadia,14-Jul-20,RobotEntertainment,"Strategy,Real-Time,Defense",No Online Multiplayer
Tak 2: The Staff of Dreams,Xbox,11-Oct-04,AvalancheSoftware,"Action,Platformer,3D",02-Jan
Battlefield V,PlayStation4,15-Nov-18,EADICE,"Action,Shooter,First-Person,Tactical",Up to 64 
Tesla vs Lovecraft,PC,26-Jan-18,10tons,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer
Yo-kai Watch 2: Psychic Specters,3DS,29-Sep-17,Level5,"Role-Playing,Trainer",Up to 4 
Life is Strange: Episode 2 - Out of Time,XboxOne,25-Mar-15,DONTNODEntertainment,"Action Adventure,General",No info
Scrolls,PC,12-Dec-14,MojangAB,"Action,General,Miscellaneous,Card Battle,Strategy,Turn-Based,Card Battle",No info
Sniper Elite III: Ultimate Edition,Switch,01-Oct-19,Rebellion,"Action,Shooter,Third-Person,Tactical",Up to 12 
Phantom Doctrine,PlayStation4,14-Aug-18,CreativeForgeGames,"Strategy,Turn-Based,General",2
When Vikings Attack!,PlayStationVita,06-Nov-12,CleverBeans,"Action,General,General",No info
ArmA II: Operation Arrowhead,PC,29-Jun-10,BohemiaInteractive,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info
The Legend of Bum-bo,PC,12-Nov-19,JamesInteractive,"Puzzle,Strategy,General",No Online Multiplayer
Assassin's Creed Origins: The Hidden Ones,PlayStation4,23-Jan-18,UbisoftMontreal,"Action Adventure,Open-World",No info
Typoman: Revised,XboxOne,17-Feb-17,BrainseedFactory,"Action,Platformer,2D",No info
Just Dance 2016,PlayStation4,20-Oct-15,Ubisoft,"Action,Rhythm,Dancing",Up to 6 
Baboon!,PlayStationVita,28-Jan-15,Relevo,"Action,Platformer,2D",No info
Pokemon Colosseum,GameCube,22-Mar-04,GeniusSonorityInc.,"Role-Playing,Console-style RPG",04-Jan
Pitfall: The Lost Expedition,Xbox,18-Feb-04,EdgeofReality,"Action,Platformer,3D",1 Player
kill.switch,PlayStation2,28-Oct-03,Namco,"Action,Shooter,Third-Person,Modern",1 Player
Pride FC: Fighting Championships,PlayStation2,11-Feb-03,Anchor,"Action,Fighting,3D",02-Jan
Rally Fusion: Race of Champions,PlayStation2,11-Nov-02,ClimaxGroup,"Driving,Racing,Rally / Offroad",08-Jan
Sled Storm,PlayStation2,11-Mar-02,ElectronicArts,"Driving,Racing,Snow / Water",02-Jan
Motor City Online,PC,29-Oct-01,EAGames,"Driving,Racing,Simulation,GT / Street,Automobile",No info
Formula One 2001,PlayStation2,24-Sep-01,StudioLiverpool,"Driving,Racing,Formula One",02-Jan
Gauntlet: Dark Legacy,PlayStation2,01-May-01,Midway,"Action,Beat-'Em-Up",04-Jan
Dave Mirra Freestyle BMX,PC,15-Dec-00,"Z-Axis,Ltd.","Sports,Alternative,Individual,Biking,Biking",1 Player
Cannon Spike,Dreamcast,14-Nov-00,Psikyo,"Action,Shooter,Scrolling",No info
Blair Witch Volume I: Rustin Parr,PC,04-Oct-00,TerminalReality,"Action Adventure,Horror,Horror,Survival",1 Player
LEGO Pirates of the Caribbean: The Video Game,Xbox360,10-May-11,Traveller'sTales,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer
Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner,PC,11-Aug-08,TelltaleGames,"Miscellaneous,Adventure,General,Compilation",1 Player
Titanfall: Expedition,XboxOne,15-May-14,RespawnEntertainment,"Action,Shooter,First-Person,Sci-Fi,Arcade",No info
RACE On,PC,05-Oct-09,SimBin,"Driving,Racing,Arcade,Arcade,Automobile",No info
Life is Strange 2: Episode 2 - Rules,PlayStation4,24-Jan-19,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer
Lumines Plus,PlayStation2,27-Feb-07,Opus,"Miscellaneous,Puzzle,Puzzle,General",02-Jan
Vasara Collection,XboxOne,14-Aug-19,QUByteInteractive,"Miscellaneous,Compilation",No Online Multiplayer
Sega Genesis Classics,XboxOne,29-May-18,"Various,D3TLimited","Miscellaneous,Compilation",2
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PC,22-Nov-16,TelltaleGames,"Adventure,Point-and-Click",No info
God Eater 2: Rage Burst,PC,29-Aug-16,"Shift,QLOC","Role-Playing,Action RPG",No info
Punch Club,PC,08-Jan-16,LazyBearGames,"Sports,Simulation,Virtual,Individual,Combat,Career,Boxing / Martial Arts",No Online Multiplayer
Pure Hold 'Em,PlayStation4,18-Aug-15,VooFooStudios,"Miscellaneous,Gambling",Up to 8 
Guilty Gear Isuka,PlayStation2,02-Nov-04,ArcSystemWorks,"Action,Fighting,2D",04-Jan
Pandora's Tower,Wii,16-Apr-13,Ganbarion,"Role-Playing,Action RPG,Action RPG",No info
Gun Showdown,PSP,10-Oct-06,"Rebellion,NeversoftEntertainment","Action Adventure,Historic,General,Historic,Open-World",06-Jan
Farming Simulator 19,PC,19-Nov-18,GiantsSoftware,"Simulation,Virtual,Career",Online Multiplayer
Nowhere Prophet,PC,19-Jul-19,SharkbombStudios,"Strategy,Turn-Based,Card Battle",No Online Multiplayer
Call of Duty: WWII - The War Machine,PlayStation4,10-Apr-18,SledgehammerGames,"Action,Shooter,First-Person,Arcade",No info
Apocalipsis,PC,01-Mar-18,PunchPunkGames,"Adventure,General,Point-and-Click",No Online Multiplayer
SingStar Queen,PlayStation2,04-Aug-09,SCEELondonStudio,"Miscellaneous,Rhythm,Music",08-Jan
Livelock,PC,30-Aug-16,TuqueGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",No info
Outlast: Whistleblower,PC,06-May-14,No info,"Action Adventure,Horror,Survival",No info
The SpongeBob SquarePants Movie,GameCube,27-Oct-04,HeavyIronStudios,"Action,Platformer,3D",1 Player
The Sims: Castaway Stories,PC,29-Jan-08,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player
XIII,PlayStation2,18-Nov-03,UbisoftParis,"Action,Shooter,First-Person,Sci-Fi",02-Jan
Cossacks II: Napoleonic Wars,PC,27-Apr-05,GSCGameWorld,"Strategy,Real-Time,Historic,Historic,Command",No Online Multiplayer
NES Remix 2,WiiU,25-Apr-14,indieszero,"Miscellaneous,General",No info
The Political Machine 2008,PC,24-Jun-08,Stardock,"Strategy,General,General",2  Online
Viewtiful Joe: Double Trouble!,DS,18-Nov-05,CloverStudio,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",1 Player
Urban Chaos: Riot Response,PlayStation2,13-Jun-06,RocksteadyStudios,"Action,Shooter,First-Person,Modern",8  Online
Onimusha: Warlords,PlayStation4,15-Jan-19,"Capcom,NeoBardsEntertainment","Action Adventure,General",No Online Multiplayer
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PlayStation3,22-Oct-13,"CyberConnect2,NamcoBandaiGames","Action,Fighting,Fighting,3D,3D",Up to 8 
Ys: The Oath in Felghana,PC,19-Mar-12,Falcom,"Role-Playing,Action RPG,Action RPG",No info
Lumo,PlayStation4,24-May-16,TripleEh?Ltd,"Action,Adventure,General,Platformer,3D",No info
Sega 3D Classics Collection,3DS,26-Apr-16,M2,"Miscellaneous,Compilation",No info
Savage Moon,PlayStation3,29-Jan-09,FluffyLogic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Defense",1 Player
Naruto Shippuden: Ultimate Ninja Storm Revolution,PlayStation3,16-Sep-14,CyberConnect2,"Action,Fighting,3D",Up to 8 
Sonic Heroes,Xbox,27-Jan-04,SonicTeam,"Action,Platformer,3D",02-Jan
Ultimate Mortal Kombat,DS,12-Nov-07,OtherOceanInteractive,"Action,Fighting,Fighting,2D,2D",2  Online
FIFA Soccer,PSP,25-Apr-05,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",04-Jan
Cricket 19,PlayStation4,29-May-19,BigAntStudios,"Sports,Team,Cricket",Up to 4 
Crash of the Titans,DS,25-Oct-07,AmazeEntertainment,"Action,Platformer,General,3D",2  Online
Mad Max,PC,01-Sep-15,AvalancheStudios,"Action,Action Adventure,General,General,Open-World",No Online Multiplayer
Regalia: Of Men and Monarchs,PC,18-May-17,PixelatedMilk,"Role-Playing,Strategy,Turn-Based,Japanese-Style,Tactics",No Online Multiplayer
Lightmatter,PC,15-Jan-20,TunnelVisionGames,"Adventure,3D,First-Person",
LEGO Harry Potter Collection,XboxOne,30-Oct-18,WarnerBros.InteractiveEntertainment,"Miscellaneous,Compilation",No Online Multiplayer
Shio,PlayStation4,22-May-18,CoconutIslandGames,"Action,Platformer,2D",No Online Multiplayer
Titan Souls,PlayStation4,14-Apr-15,AcidNerve,"Action,General",No info
Kirby and the Rainbow Curse,WiiU,20-Feb-15,HALLabs,"Action,Platformer,2D",No Online Multiplayer
Chariot,XboxOne,01-Oct-14,FrimaStudio,"Action,Platformer,2D",No info
Escape Plan,PlayStation4,03-Dec-13,FunBits,"Miscellaneous,Puzzle,Action,General,Puzzle,General",No info
Prism: Light the Way,DS,17-Oct-07,GameSauce,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",2  Online
The Sims 2,GameCube,24-Oct-05,Maxis,"Miscellaneous,Virtual Life",02-Jan
Persona 3: Dancing in Moonlight,PlayStation4,04-Dec-18,Atlus,"Action,Rhythm,Music",No Online Multiplayer
Space Run,PC,13-Jun-14,PasstechGames,"Strategy,Real-Time,Sci-Fi,General,Defense",No info
Need for Speed ProStreet,PlayStation3,13-Nov-07,EABlackBox,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 8 
Xeodrifter,3DS,11-Dec-14,RenegadeKid,"Action,Platformer,2D",No info
Alan Wake's American Nightmare,PC,22-May-12,RemedyEntertainment,"Action Adventure,Modern,General,Modern,Linear",No Online Multiplayer
The Outer Worlds: Peril on Gorgon,PC,09-Sep-20,ObsidianEntertainment,"Role-Playing,Western-Style",No info
Dead to Rights,Xbox,19-Aug-02,Namco,"Action,Shooter,Third-Person,Modern",1 Player
LocoRoco Midnight Carnival,PSP,29-Oct-09,SCEJapanStudio,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,3DS,22-May-15,GungHo,"Miscellaneous,Compilation",No Online Multiplayer
Paper Sorcerer,PC,02-Nov-13,UltraRunawayGames,"General,Role-Playing,General",No info
Dungeon Hearts,PC,28-Mar-13,CubeRoots,"Miscellaneous,Puzzle,Puzzle,Matching,Matching",No info
Driftmoon,PC,02-Oct-12,InstantKingdom,"Role-Playing,General,General",No Online Multiplayer
Buffy the Vampire Slayer: Chaos Bleeds,Xbox,27-Aug-03,EurocomEntertainmentSoftware,"Action,Beat-'Em-Up",04-Jan
Dead to Rights,PlayStation2,18-Nov-02,Namco,"Action,Shooter,Third-Person,Modern",1 Player
Driver 2 Advance,GameBoyAdvance,22-Oct-02,SennariInteractive,"Driving,Mission-based",04-Jan
Super Bust-A-Move 2,PlayStation2,24-Sep-02,TaitoCorporation,"Miscellaneous,Puzzle,Puzzle,Matching",02-Jan
NFL Blitz 20-03,PlayStation2,12-Aug-02,PointofView,"Sports,Traditional,Football,Arcade",04-Jan
Warrior Kings,PC,13-Apr-02,BlackCactus,"Strategy,Real-Time,Fantasy,General,Fantasy",08-Jan
Warrior Kings,PC,13-Apr-02,BlackCactus,"Strategy,Real-Time,Fantasy,General,Fantasy",08-Jan
Smash Court Tennis Pro Tournament,PlayStation2,20-Mar-02,Namco,"Sports,Traditional,Tennis",02-Jan
Lady Sia,GameBoyAdvance,15-Oct-01,RFXInteractive,"Action,General",1 Player
Dave Mirra Freestyle BMX,Dreamcast,20-Nov-00,"Z-Axis,Ltd.","Sports,Alternative,Biking",No info
Body Harvest,Nintendo64,30-Sep-98,DMADesign,"Action,General",1 Player
LEGO Pirates of the Caribbean: The Video Game,PlayStation3,10-May-11,Traveller'sTales,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer
Deus Ex: Human Revolution - The Missing Link,PC,18-Oct-11,EidosMontreal,"Action Adventure,Sci-Fi,Sci-Fi,General",No info
King's Bounty: Dark Side,PC,16-May-14,1C-Softclub,"Strategy,Turn-Based,General,Fantasy",No Online Multiplayer
NBA Baller Beats,Xbox360,11-Sep-12,HBStudiosMultimedia,"Sports,Traditional,Team,Baseball,Arcade,Arcade",No info
Fritz 9: Play Chess,PC,15-Dec-05,ChessBase,"Miscellaneous,Board Games,Board Games,Board / Card Game",2  Online
Life is Strange 2: Episode 3 - Wastelands,XboxOne,09-May-19,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer
Mom Hid My Game!,Switch,21-Dec-17,Hap,"Adventure,Point-and-Click",No Online Multiplayer
Ashes Cricket,PlayStation4,16-Nov-17,BigAntStudios,"Sports,Team,Cricket",Up to 4 
Cosmophony,WiiU,30-Oct-14,MovingPlayer,"Action,Shooter,Rail",No info
Castlevania: Lords of Shadow - Mirror of Fate HD,Xbox360,25-Oct-13,MercurySteam,"Action Adventure,Fantasy,General,Fantasy",1 Player
The Sims 3: Island Paradise,PC,25-Jun-13,TheSimsStudio,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No info
Silent Hill: Shattered Memories,PSP,19-Jan-10,"ClimaxGroup,ClimaxStudios","Action Adventure,Horror,Horror,Survival",No Online Multiplayer
Battlestations: Midway,Xbox360,30-Jan-07,EidosInteractive,"Strategy,Real-Time,Historic,General,Historic",1 Player
World to the West,PlayStation4,05-May-17,"RainGames,Soedesco","Action Adventure,Linear",No info
Cogs,PC,14-Apr-09,Lazy8Studios,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No Online Multiplayer
Cold Winter,PlayStation2,11-May-05,SwordfishStudios,"Action,Shooter,First-Person,Modern",8  Online
Dauntless,Switch,10-Dec-19,PhoenixLabs,"Role-Playing,Action RPG",No Online Multiplayer
State of Mind,XboxOne,15-Aug-18,DaedalicEntertainment,"Action Adventure,Adventure,General,3D,Third-Person",No Online Multiplayer
Laser Squad Nemesis,PC,26-Apr-05,CodoGames,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General",2  Online
Final Fantasy XI: Chains of Promathia,PC,21-Sep-04,SquareEnix,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer
Stela,XboxOne,17-Oct-19,SkyBoxLabs,"Action,Platformer,2D",No Online Multiplayer
Black Bird,Switch,18-Oct-18,OnionGames,"Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer
The Swindle,PlayStation4,28-Jul-15,SizeFiveGames,"Action,Platformer,3D",No info
The Council - Episode 1: The Mad Ones,PC,13-Mar-18,BigBadWolf,"Adventure,General",No Online Multiplayer
Action Henk,PlayStation4,08-Mar-16,RageSquid,"Action,Platformer,2D,3D",No info
The Jackbox Party Pack 7,XboxOne,15-Oct-20,"JackboxGames,Inc.","Miscellaneous,Party / Minigame",Up to 8 
Batman: The Telltale Series - Episode 3: New World Order,XboxOne,25-Oct-16,TelltaleGames,"Adventure,Point-and-Click",No info
Batman: Return to Arkham,PlayStation4,18-Oct-16,"RocksteadyStudios,Virtuos","Miscellaneous,Compilation",No info
Disney Magical World 2,3DS,14-Oct-16,BandaiNamcoGames,"Simulation,Virtual,Virtual Life",No info
MotoGP 13,PlayStation3,17-Jun-14,MilestoneS.r.l,"Driving,Racing,Simulation,Motorcycle,Automobile,Motocross,Street",Up to 12 
Fantasy Life,3DS,24-Oct-14,"Level5,BrownieBrown","Role-Playing,General",No Online Multiplayer
Never Alone,PlayStation4,18-Nov-14,UpperOneGames,"Action,Platformer,2D",No info
Wild Arms Alter Code: F,PlayStation2,15-Nov-05,MediaVision,"Role-Playing,Console-style RPG",1 Player
Hard Reset Redux,PC,03-Jun-16,FlyingWildHog,"Action,Shooter,First-Person,Arcade",No Online Multiplayer
Second Sight,PC,18-Feb-05,FreeRadicalDesign,"Action Adventure,Sci-Fi,Sci-Fi,General",1 Player
Resident Evil: Revelations 2,Switch,28-Nov-17,Capcom,"Action Adventure,Survival",2
Freedom Wars,PlayStationVita,28-Oct-14,"DimpsCorporation,SCEJapanStudio","Role-Playing,Action RPG",No info
HarmoKnight,3DS,28-Mar-13,GameFreak,"Action,Miscellaneous,Rhythm,Music,Music",1 Player
GRID,PlayStation4,11-Oct-19,Codemasters,"Racing,Simulation,Automobile",Up to 16 
Road Redemption,Switch,06-Nov-18,"SaberInteractive,DarkSeasGames,EQGames","Simulation,Vehicle,Combat",Online Multiplayer
Mega Man Legacy Collection 2,PC,08-Aug-17,"Capcom,Bullets","Miscellaneous,Compilation",No Online Multiplayer
