name,platform,r-date,developer,genre,players
Celeste,XboxOne,26-Jan-18,MattMakesGamesInc.,"Action,Platformer,2D",No Online Multiplayer
BioShock,PlayStation3,21-Oct-08,"DigitalExtremes,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Mass Effect 2,PlayStation3,17-Jan-11,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer
Grand Theft Auto: Vice City,PC,12-May-03,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer
Madden NFL 2004,PlayStation2,12-Aug-03,EATiburon,"Sports,Traditional,Football,Sim",08-Jan
Gears of War,Xbox360,07-Nov-06,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",8  Online
The Elder Scrolls IV: Oblivion,Xbox360,20-Mar-06,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
Sid Meier's Civilization II,PC,29-Feb-96,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",1 Player
Quake,PC,22-Jun-96,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",16-Jan
Call of Duty 4: Modern Warfare,Xbox360,05-Nov-07,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 
BioShock Infinite,PC,25-Mar-13,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Halo 3,Xbox360,25-Sep-07,"BungieSoftware,Bungie","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",04-Jan
Ninja Gaiden Black,Xbox,20-Sep-05,TeamNinja,"Action Adventure,Fantasy",1 Player
The Elder Scrolls IV: Oblivion,PC,20-Mar-06,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer
Street Fighter IV,PlayStation3,17-Feb-09,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online
Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,21-Oct-03,Nintendo,"Action,Platformer,2D",04-Jan
Jet Grind Radio,Dreamcast,30-Oct-00,Smilebit,"Action,Platformer,3D",No info
Metal Gear Solid,PlayStation,21-Oct-98,KCEJ,"Action Adventure,Modern",1 Player
Grim Fandango,PC,14-Oct-98,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",No Online Multiplayer
Tom Clancy's Splinter Cell Chaos Theory,Xbox,28-Mar-05,UbisoftMontreal,"Action Adventure,Modern",4  Online
Burnout 3: Takedown,Xbox,07-Sep-04,CriterionGames,"Driving,Racing,Arcade",8  Online
Diablo,PC,31-Dec-96,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 
Metal Gear Solid 3: Subsistence,PlayStation2,14-Mar-06,Aspect,"Action Adventure,Modern",8  Online
Call of Duty: Modern Warfare 2,Xbox360,10-Nov-09,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 
Metal Gear Solid 4: Guns of the Patriots,PlayStation3,12-Jun-08,KojimaProductions,"Action Adventure,Modern,General,Modern",Up to 16 
