,platform,genre,players
86,PC,Action,16-Jan
86,PC,Shooter,16-Jan
86,PC,Shooter,16-Jan
86,PC,First-Person,16-Jan
86,PC,Sci-Fi,16-Jan
86,PC,Sci-Fi,16-Jan
86,PC,Arcade,16-Jan
88,PC,Action,No Online Multiplayer
88,PC,Shooter,No Online Multiplayer
88,PC,Shooter,No Online Multiplayer
88,PC,First-Person,No Online Multiplayer
88,PC,Sci-Fi,No Online Multiplayer
88,PC,Sci-Fi,No Online Multiplayer
88,PC,Arcade,No Online Multiplayer
89,Xbox360,Action,04-Jan
89,Xbox360,Shooter,04-Jan
89,Xbox360,Shooter,04-Jan
89,Xbox360,First-Person,04-Jan
89,Xbox360,Sci-Fi,04-Jan
89,Xbox360,Sci-Fi,04-Jan
89,Xbox360,Arcade,04-Jan
90,Xbox,Action Adventure,1 Player
90,Xbox,Fantasy,1 Player
91,PC,Role-Playing,No Online Multiplayer
91,PC,First-Person,No Online Multiplayer
91,PC,First-Person,No Online Multiplayer
92,PlayStation3,Action,2  Online
92,PlayStation3,Fighting,2  Online
92,PlayStation3,Fighting,2  Online
92,PlayStation3,3D,2  Online
92,PlayStation3,2D,2  Online
92,PlayStation3,3D,2  Online
93,GameBoyAdvance,Action,04-Jan
93,GameBoyAdvance,Platformer,04-Jan
93,GameBoyAdvance,2D,04-Jan
95,PlayStation,Action Adventure,1 Player
95,PlayStation,Modern,1 Player
96,PC,Adventure,No Online Multiplayer
96,PC,General,No Online Multiplayer
96,PC,General,No Online Multiplayer
96,PC,3D,No Online Multiplayer
96,PC,Third-Person,No Online Multiplayer
96,PC,Fantasy,No Online Multiplayer
97,Xbox,Action Adventure,4  Online
97,Xbox,Modern,4  Online
98,Xbox,Driving,8  Online
98,Xbox,Racing,8  Online
98,Xbox,Arcade,8  Online
99,PC,Role-Playing,Up to 4 
99,PC,Action RPG,Up to 4 
99,PC,Action RPG,Up to 4 
100,PlayStation2,Action Adventure,8  Online
100,PlayStation2,Modern,8  Online
102,PlayStation3,Action Adventure,Up to 16 
102,PlayStation3,Modern,Up to 16 
102,PlayStation3,General,Up to 16 
102,PlayStation3,Modern,Up to 16 
103,PlayStation2,Sports,08-Jan
103,PlayStation2,Traditional,08-Jan
103,PlayStation2,Sim,08-Jan
104,PlayStation2,Action Adventure,1 Player
104,PlayStation2,Fantasy,1 Player
105,Xbox,Role-Playing,1 Player
105,Xbox,Third-Person,1 Player
106,PC,Strategy,Online Multiplayer
106,PC,Turn-Based,Online Multiplayer
106,PC,Historic,Online Multiplayer
106,PC,Historic,Online Multiplayer
107,GameCube,Sports,04-Jan
107,GameCube,Traditional,04-Jan
107,GameCube,Sim,04-Jan
108,PlayStation2,Action,02-Jan
108,PlayStation2,Fighting,02-Jan
108,PlayStation2,3D,02-Jan
109,Nintendo64,Action,1 Player
109,Nintendo64,Platformer,1 Player
109,Nintendo64,3D,1 Player
110,PC,Action RPG,No Online Multiplayer
110,PC,Role-Playing,No Online Multiplayer
110,PC,Action RPG,No Online Multiplayer
111,PlayStation2,Driving,16-Jan
111,PlayStation2,Racing,16-Jan
111,PlayStation2,Arcade,16-Jan
112,Wii,Action,Up to 4 
112,Wii,Fighting,Up to 4 
112,Wii,Fighting,Up to 4 
112,Wii,3D,Up to 4 
112,Wii,2D,Up to 4 
112,Wii,3D,Up to 4 
113,PC,Strategy,8  Online
113,PC,Real-Time,8  Online
113,PC,Historic,8  Online
113,PC,General,8  Online
113,PC,Historic,8  Online
114,PlayStation,Driving,02-Jan
114,PlayStation,Racing,02-Jan
115,PlayStation4,General,No Online Multiplayer
115,PlayStation4,Action Adventure,No Online Multiplayer
115,PlayStation4,Survival,No Online Multiplayer
116,Xbox,Action Adventure,04-Jan
116,Xbox,Modern,04-Jan
118,Switch,Role-Playing,Up to 4 
120,PlayStation,Action,02-Jan
120,PlayStation,Fighting,02-Jan
120,PlayStation,2D,02-Jan
121,Xbox,Sports,04-Jan
122,Switch,Action Adventure,No Online Multiplayer
122,Switch,General,No Online Multiplayer
123,PC,Action,No Online Multiplayer
123,PC,First-Person,No Online Multiplayer
123,PC,Shooter,No Online Multiplayer
123,PC,Arcade,No Online Multiplayer
124,PC,Action RPG,Up to 4 
124,PC,Role-Playing,Up to 4 
126,Xbox360,Action,No Online Multiplayer
126,Xbox360,Shooter,No Online Multiplayer
126,Xbox360,Shooter,No Online Multiplayer
126,Xbox360,First-Person,No Online Multiplayer
126,Xbox360,Sci-Fi,No Online Multiplayer
126,Xbox360,Sci-Fi,No Online Multiplayer
126,Xbox360,Arcade,No Online Multiplayer
127,Xbox360,Action,1 Player
127,Xbox360,Platformer,1 Player
127,Xbox360,Platformer,1 Player
127,Xbox360,2D,1 Player
127,Xbox360,2D,1 Player
128,PlayStation2,Action Adventure,1 Player
128,PlayStation2,Fantasy,1 Player
